location,total_sqft,bath,price,rooms
Poorna Pragna Layout,1270,2.0,50.79,3.0
Bannerghatta Road,1105,2.0,51.0,2.0
Sundar Ram Shetty Nagar,1375,2.0,85.0,3.0
Attibele,2168,4.0,95.0,4.0
Gottigere,1200,8.0,90.0,8.0
Yelahanka,1065,2.0,40.84,2.0
Sector 6 HSR Layout,3800,3.0,580.0,3.0
Raja Rajeshwari Nagar,3125,9.0,350.0,9.0
Whitefield,825,1.0,45.0,1.0
Nelamangala,1095,2.0,40.0,2.0
Ganga Nagar,720,3.0,65.0,3.0
Udayapur Village,1440,2.0,60.33,3.0
Electronic City,870,2.0,39.5,2.0
Panathur,1195,2.0,84.0,2.0
"Kirloskar layout, Basaveshwarnagar",1200,2.0,49.5,2.0
Raja Rajeshwari Nagar,1530,3.0,61.2,3.0
Padmanabhanagar,1708,2.0,90.5,3.0
Alfa Garden Layout,975,2.0,43.0,2.0
KR Puram,750,2.0,25.0,2.0
Gowdanapalya,1200,8.0,190.0,8.0
Iblur Village,1920,3.0,130.0,3.0
Nagarbhavi,1200,5.0,240.0,6.0
Thanisandra,1183,2.0,58.56,2.0
Kothanur,1140,4.0,90.0,4.0
Mico Layout,1550,2.0,65.0,3.0
Kaggadasapura,1110,2.0,53.0,2.0
NS Palya,1500,10.0,165.0,8.0
Kaggadasapura,1105,2.0,38.67,2.0
Anekal,1800,3.0,68.0,3.0
2nd Phase JP Nagar,2800,4.0,200.0,5.0
Bommanahalli,1000,2.0,29.9,2.0
Prithvi Layout,1190,2.0,68.0,2.0
2nd Stage Nagarbhavi,1350,4.0,200.0,4.0
Hebbal,3067,4.0,230.0,4.0
Sarjapur  Road,1929,4.0,103.0,3.0
Ramamurthy Nagar,1525,3.0,100.0,3.0
Nehru Nagar,1775,3.0,110.0,3.0
Banashankari,1125,2.0,63.0,2.0
Hessarghatta,900,2.0,42.0,2.0
Sarjapur  Road,1155,2.0,58.0,2.0
Hulimavu,1200,4.0,75.0,4.0
Sonnenahalli,1268,2.0,73.0,2.0
Hoodi Layout,1500,3.0,88.0,3.0
Electronic City,630,1.0,47.0,1.0
Seegehalli,1525,3.0,65.0,3.0
Kaggadasapura,1060,2.0,48.0,2.0
Lingadheeranahalli,1687,3.0,127.0,3.0
Thanisandra,1847,3.0,123.0,3.0
Begur Road,1410,2.0,53.0,3.0
7th Phase JP Nagar,1075,2.0,42.99,2.0
Rajaji Nagar,3526,4.0,492.0,4.0
BTM Layout,3000,3.0,338.0,3.0
Basavangudi,1500,2.0,143.0,3.0
Gaundanapalya,1010,2.0,46.0,2.0
Haralur Road,1875,3.0,110.0,3.0
Arasanakunte,1200,6.0,137.0,5.0
Kanakpura Road,983,2.0,50.6,2.0
Kasturi Nagar,1101,2.0,65.0,2.0
Laxmi Sagar Layout,1140,2.0,76.0,2.0
Sarjapur  Road,1215,2.0,110.0,2.0
Kengeri Satellite Town,1007,2.0,42.0,2.0
Bellandur,2039,3.0,168.0,3.0
Ulsoor,1020,3.0,110.0,3.0
Outer Ring Road East,1198,2.0,84.0,2.0
5th block Koramangala,4000,4.0,520.0,4.0
Nelamangala,1470,4.0,34.5,4.0
JakkurYelahanka,1370,2.0,75.0,2.0
Yemlur,1316,2.0,55.5,2.0
Kaggadasapura,1350,3.0,55.5,3.0
Gunjur Palya,1050,2.0,43.0,2.0
KR Puram,1005.03 - 1252.49,3.0,47.405,3.0
Electronic City,921,2.0,34.0,2.0
Kundalahalli,1010,2.0,49.27,2.0
KR Puram,1015,2.0,43.0,2.0
TC Palaya,1200,2.0,66.5,3.0
Lakshminarayana Pura,1179,2.0,75.0,2.0
Anjanapura,1850,4.0,86.0,4.0
Kammasandra,870,2.0,24.0,2.0
Bellandur,1605,3.0,85.0,3.0
Banashankari Stage VI,2800,4.0,89.0,4.0
Malleshwaram,2475,4.0,320.0,3.0
Ngef Layout,3000,2.0,510.0,2.0
Bileshivale,2400,7.0,110.0,6.0
2nd Phase JP Nagar,1000,1.0,55.0,2.0
Ramamurthy Nagar,1200,2.0,80.0,2.0
Manjunatha Layout,1200,2.0,125.0,2.0
Kammasandra,1200,2.0,66.0,2.0
Kashi Nagar,1200,2.0,50.0,2.0
Hennur,1255,2.0,57.5,2.0
Hosur Road,1085,2.0,30.38,2.0
Kanakpura Road,1592,3.0,125.0,3.0
B Narayanapura,1313,2.0,58.27,2.0
Kogilu,1934,3.0,150.0,3.0
Harlur,1200,2.0,49.5,2.0
Uttarahalli,3600,6.0,120.0,6.0
Old Madras Road,935,2.0,45.0,2.0
Bommasandra,877,2.0,30.0,2.0
Ashwathnagar,936,2.0,42.0,2.0
Nagasandra,1470,2.0,110.0,3.0
Upkar Layout,1050,1.0,70.0,1.0
Hennur Road,1232,2.0,69.61,2.0
Ambedkar Nagar,2225,4.0,169.0,3.0
Sunkadakatte,1200,2.0,80.0,3.0
Dasarahalli,1901,3.0,119.0,3.0
Sarjapur  Road,1819,3.0,100.0,3.0
HOSUR MAIN ROAD,1464,3.0,56.0,3.0
Banashankari,2400,,460.0,
Old Madras Road,3630 - 3800,6.0,200.5,4.0
9th Phase JP Nagar,5000,4.0,290.0,4.0
Someshwara Layout,1200,4.0,169.0,4.0
Kacharakanahalli,1256,2.0,60.0,2.0
7th Phase JP Nagar,1100,2.0,44.0,2.0
TC Palaya,4800,3.0,302.0,4.0
Kothanur,1435,3.0,70.0,3.0
6th Phase JP Nagar,3245,4.0,250.0,4.0
Sarjapur  Road,1845,4.0,110.0,3.0
Jigani,2400,4.0,130.0,3.0
HSR Layout,1140,2.0,46.0,2.0
Ulsoor,1200,2.0,60.0,2.0
Talaghattapura,2254,3.0,170.0,3.0
Frazer Town,1750,3.0,150.0,3.0
Jalahalli West,1020,2.0,37.0,2.0
Bommanahalli,515,1.0,25.0,1.0
Lingadheeranahalli,1893,3.0,140.0,3.0
Vasanth nagar,3025,3.0,500.0,3.0
Suddaguntepalya,830,2.0,34.0,2.0
Singasandra,600,2.0,36.5,2.0
Bisuvanahalli,1075,2.0,90.0,3.0
Kathreguppe,3200,4.0,1200.0,4.0
Kasavanhalli,1200,2.0,78.0,2.0
Sarjapur  Road,1233,2.0,77.65,2.0
Bannerghatta Road,1255,2.0,65.26,2.0
Begur Road,1200,2.0,37.8,2.0
Varthur,2145,3.0,175.0,3.0
1st Phase JP Nagar,1500,5.0,85.0,5.0
Kothannur,740,2.0,34.0,2.0
Kengeri,1250,3.0,48.0,3.0
Channasandra Layout,1210,2.0,40.0,2.0
Sarjapur  Road,1525,2.0,60.0,3.0
Kogilu,540,1.0,36.0,1.0
Tumkur Road,1240,2.0,84.0,3.0
Subramanyapura,1245,2.0,68.0,3.0
HAL 3rd Stage,1865,3.0,350.0,3.0
Hosa Road,1004 - 1204,2.0,36.43,2.0
Bisuvanahalli,1075,2.0,35.99,3.0
Nagavara,2200,2.0,55.0,2.0
Whitefield,1155,2.0,60.0,2.0
Doctors Layout,1520,2.0,62.0,2.0
Thigalarapalya,3122,6.0,245.0,4.0
Harlur,1290,2.0,85.0,2.0
1st Block HRBR Layout,2300,3.0,80.0,3.0
Kannamangala,3000,4.0,200.0,4.0
Whitefield,361.33Sq. Yards,4.0,270.0,4.0
Austin Town,400,1.0,14.0,1.0
Banashankari,1340,2.0,53.6,3.0
Malleshwaram,900,2.0,95.0,2.0
Rajaji Nagar,1800,4.0,324.0,6.0
Hennur Road,987,2.0,49.0,2.0
Old Madras Road,1720,3.0,100.0,3.0
Hebbal,1040,2.0,50.0,2.0
Anandapura,900,2.0,64.0,2.0
Raja Rajeshwari Nagar,1030,2.0,50.0,2.0
Neeladri Nagar,2556,3.0,133.0,3.0
Basavangudi,1850,3.0,168.0,3.0
Kaval Byrasandra,750,4.0,110.0,4.0
Balagere,1028,2.0,31.86,2.0
7th Phase JP Nagar,1270,2.0,83.0,2.0
Sahakara Nagar,1655,3.0,115.0,3.0
Electronics City Phase 1,940,2.0,40.0,2.0
Domlur,1050,2.0,85.0,2.0
Rajagopala Nagar,600,4.0,40.0,4.0
Vishwapriya Nagar,946,2.0,38.0,2.0
CV Raman Nagar,1726,3.0,145.0,3.0
Sarakki Nagar,2121,4.0,253.0,3.0
Vittasandra,1404,2.0,75.0,2.0
Sarjapur,1525,2.0,48.0,3.0
Kengeri,1025,2.0,57.0,2.0
Bahubali Nagar,1575,4.0,150.0,5.0
RMV 2nd Stage,860,1.0,43.0,2.0
Talaghattapura,1223,2.0,42.81,3.0
Lottegolla Halli,3750,3.0,550.0,4.0
Kothannur,1197,2.0,47.8,2.0
Garudachar Palya,1150,2.0,52.75,2.0
Kodbisanhalli,4800,5.0,629.0,4.0
R.T. Nagar,1040,2.0,46.0,2.0
Banashankari,1310,2.0,80.0,2.0
Uttarahalli,1788,3.0,98.34,3.0
Raja Rajeshwari Nagar,1144,2.0,38.55,2.0
Anjanapura,1070,2.0,39.0,2.0
Nandini Layout,1200,2.0,70.0,2.0
Ambedkar Nagar,1862,3.0,120.0,3.0
Margondanahalli,1200,2.0,58.5,2.0
Begur Road,970,2.0,27.0,2.0
Kasavanhalli,1646,3.0,79.5,3.0
Sarjapur  Road,4395,4.0,242.0,4.0
Vibhutipura Extension,1200,4.0,100.0,5.0
Iblur Village,1995,3.0,135.0,3.0
1st Block Jayanagar,2400,4.0,450.0,4.0
Hosakerehalli,1085,2.0,47.74,2.0
Budigere,1139,2.0,56.8,2.0
Haralur Road,1092,2.0,44.0,2.0
Pattandur Agrahara,1767,3.0,98.0,3.0
HMT Layout,1700,3.0,80.0,3.0
Bellandur,1692,3.0,88.0,3.0
6th Phase JP Nagar,1645,3.0,100.0,3.0
Uttarahalli,1345,2.0,57.0,3.0
Basapura,1100,2.0,60.0,2.0
Gollarapalya Hosahalli,1408,3.0,62.0,3.0
Banashankari Stage III,2400,4.0,240.0,4.0
Kadugodi,1920,4.0,200.0,4.0
Bileshivale,6040,4.0,170.0,5.0
Thigalarapalya,2072,4.0,150.0,3.0
Malleshwaram,1420,2.0,158.0,2.0
Electronics City Phase 1,2040,3.0,137.0,3.0
Sarjapur  Road,1220,3.0,56.0,3.0
8th Phase JP Nagar,1200,4.0,145.0,4.0
B Channasandra,1300,2.0,79.0,2.0
Electronics City Phase 1,1150,2.0,39.0,2.0
KR Puram,1470,2.0,86.0,2.0
Hosa Road,1063,2.0,31.9,2.0
Harappanahalli,1311,2.0,48.0,2.0
Dollars Colony,3500,4.0,350.0,4.0
Nagarbhavi,600,2.0,100.0,4.0
Arehalli,1400,2.0,55.0,3.0
Kanakpura Road,2200,2.0,62.0,2.0
Thanisandra,1430,2.0,56.0,3.0
Vidyaranyapura,1060,2.0,55.0,2.0
Cambridge  road,1000,2.0,110.0,3.0
Sector 7 HSR Layout,1760,3.0,145.0,3.0
Whitefield,2010,3.0,92.0,3.0
Kanakpura Road,1480,2.0,64.23,3.0
8th Phase JP Nagar,1230,2.0,43.5,3.0
Gottigere,1300,3.0,65.0,3.0
Vajarahalli,800,4.0,120.0,4.0
Frazer Town,4850,6.0,385.0,4.0
Singasandra,1100,2.0,52.0,2.0
Harlur,1752.12,3.0,116.0,3.0
Marathahalli,957,2.0,46.9,2.0
Balagere,645 - 936,1.0,41.9,1.0
Hennur Gardens,1942,3.0,102.0,3.0
Ashirvad Colony,1000,2.0,53.0,2.0
Yeshwanthpur,668,1.0,36.85,1.0
Cholanayakanahalli,3000,6.0,1000.0,5.0
Nagarbhavi,600,2.0,80.0,3.0
Uttarahalli,1089,2.0,43.55,2.0
Thanisandra,1800,3.0,90.0,3.0
Yelahanka New Town,960,2.0,18.0,1.0
Yelahanka,1036,2.0,39.35,2.0
Marathahalli,1583,3.0,105.0,3.0
7th Phase JP Nagar,3300,4.0,150.0,4.0
Padmanabhanagar,1100,2.0,65.0,2.0
Thyagaraja Nagar,800,1.0,100.0,1.0
Vittasandra,1246,2.0,65.0,2.0
Dodda Nekkundi,850,2.0,28.0,2.0
Raja Rajeshwari Nagar,1196,2.0,51.51,2.0
Thanisandra,1697,3.0,114.0,3.0
TC Palaya,1000,2.0,64.0,2.0
HRBR Layout,1567,3.0,90.0,3.0
Anekal,1200,1.0,36.0,2.0
Sarjapur  Road,3750,6.0,290.0,4.0
Veerannapalya,950,2.0,45.0,2.0
Howthinarayanappa Garden,1022,2.0,52.0,2.0
Kammasandra,1018,2.0,23.45,2.0
Basavanagara,2000,3.0,25.0,4.0
Bharathi Nagar,1322,2.0,68.0,2.0
Marsur,1800,4.0,145.0,4.0
Doddakallasandra,1460,2.0,58.39,3.0
SRINIVASAPURA,990,2.0,44.55,2.0
Cambridge Layout,2400,3.0,260.0,3.0
Whitefield,1635,2.0,85.0,3.0
Rajaji Nagar,3526,4.0,558.0,4.0
Padmanabhanagar,3400,3.0,210.0,4.0
Ramakrishnappa Layout,2770,3.0,460.0,3.0
EPIP Zone,2710 - 3360,5.0,200.0,4.0
Maragondanahalli,1533,3.0,85.0,3.0
Akshaya Nagar,1720,3.0,134.0,3.0
Frazer Town,2000,3.0,200.0,3.0
Yeshwanthpur,1185,2.0,75.84,2.0
Varthur Road,900,2.0,27.0,2.0
Attibele,395,1.0,10.25,1.0
Electronic City Phase II,1031,2.0,56.35,2.0
3rd Block Banashankari,2400,8.0,650.0,6.0
Thanisandra,2650,4.0,240.0,4.0
Basaveshwara Nagar,2400,5.0,415.0,5.0
Uttarahalli,1330,2.0,46.55,3.0
Hennur,1259,2.0,57.0,2.0
Raja Rajeshwari Nagar,1570,3.0,88.0,3.0
Bisuvanahalli,1075,2.0,36.0,3.0
Whitefield,1216,2.0,79.0,2.0
Sarjapur  Road,1428,2.0,66.0,3.0
Begur Road,1160,2.0,40.59,2.0
 ittamadu,600,2.0,110.0,3.0
Doddakannelli,1475,3.0,70.0,3.0
Harlur,1754,3.0,135.0,3.0
Rayasandra,1639,3.0,83.0,3.0
Hennur Road,1804,3.0,102.0,3.0
Whitefield,1200,3.0,56.2,3.0
Anand Nagar,1135,2.0,55.0,2.0
Begur Road,1260,2.0,46.62,2.0
Peenya,1440,5.0,110.0,5.0
Hennur Road,2160,3.0,160.0,3.0
Rayasandra,700,6.0,85.0,7.0
Rachenahalli,1220,2.0,59.5,2.0
Margondanahalli,1200,2.0,67.0,2.0
Yelahanka,1300,2.0,65.0,2.0
Cox Town,605,1.0,29.0,1.0
Vijayanagar,1230,4.0,210.0,6.0
Bhoganhalli,1444,2.0,75.97,2.0
Amruthahalli,924,2.0,45.0,2.0
Kaikondrahalli,1000,2.0,30.0,2.0
Vishveshwarya Layout,600,4.0,95.0,4.0
Patelappa Layout,1200,3.0,225.0,3.0
Bisuvanahalli,845,2.0,29.0,2.0
Kanakpura Road,700,2.0,35.0,2.0
Kothanur,1187,2.0,58.0,2.0
Kaggadasapura,1625,3.0,55.0,3.0
 Devarachikkanahalli,1200,2.0,83.0,2.0
Pulkeshi Nagar,1452.55,2.0,110.0,2.0
"Thanisandra Main Road, ",2357,3.0,151.0,3.0
Kaval Byrasandra,1200,2.0,49.5,2.0
Budigere,1139,2.0,56.85,2.0
Basavangudi,600,1.0,97.5,1.0
Kanakpura Road,1660,3.0,75.0,3.0
Jayanagar,1170,2.0,105.0,2.0
Somasundara Palya,1448,2.0,68.0,2.0
Kadugodi,1762,3.0,110.0,3.0
Kaggadasapura,1105,2.0,38.65,2.0
Yelahanka,1825,3.0,105.0,3.0
 Bhoganhalli,296,1.0,22.89,1.0
Kumbalgodu,1200,4.0,85.0,5.0
Thanisandra,1185,2.0,43.0,2.0
Electronic City Phase II,1320,2.0,38.12,3.0
Hulimavu,1058,2.0,48.0,2.0
Bellandur,1220,2.0,60.0,2.0
Sarjapur,925,2.0,25.0,2.0
Old Madras Road,1200,2.0,72.0,2.0
Kengeri,1160,2.0,40.6,3.0
Kengeri Satellite Town,600,4.0,72.0,3.0
banashankari stage iii sa,1411,3.0,91.72,3.0
Bannerghatta Road,1550,3.0,78.0,3.0
Green Glen Layout,3250,4.0,230.0,4.0
Haralur Road,2475,4.0,130.0,3.0
Jakkur,2249.81 - 4112.19,,260.5,4.0
7th Phase JP Nagar,2503,4.0,188.0,4.0
Marathahalli,2524,5.0,190.0,4.0
Kaggadasapura,1063,2.0,42.0,2.0
Kanakpura Road,1077,2.0,37.7,2.0
Manayata Tech Park,1200,3.0,44.0,2.0
Hosakerehalli,1500,3.0,70.0,4.0
Jalahalli,1045,2.0,76.77,2.0
Kanakapura,1290,2.0,45.15,3.0
Hoodi,1400,2.0,78.0,2.0
Begur Road,1600,3.0,58.14,3.0
Jayanagar,3095,3.0,375.0,3.0
Nagavara,1545,2.0,58.0,3.0
Sarjapur  Road,1680,3.0,112.0,3.0
Amruthnagar,1350,2.0,67.5,2.0
Gottigere,950,2.0,38.0,2.0
Thanisandra,1050,2.0,45.0,2.0
Banashankari Stage V,1305,2.0,49.0,3.0
Hosakerehalli,800,4.0,120.0,4.0
Kodichikkanahalli,2700,7.0,125.0,5.0
MS Pallya,1100,3.0,78.0,3.0
Thanisandra,3500,5.0,160.0,6.0
Begur Road,1634,3.0,83.33,3.0
Prithvi Layout,1352,2.0,85.0,2.0
Balagere,1145,2.0,65.0,2.0
Alfa Garden Layout,1240,2.0,43.79,2.0
7th Phase JP Nagar,2200,3.0,190.0,3.0
Bommasandra Industrial Area,1020,2.0,39.0,2.0
Palace Guttahalli,3600,4.0,365.0,4.0
Raja Rajeshwari Nagar,1168,2.0,61.0,2.0
Electronic City Phase II,1205,2.0,75.0,2.0
Yeshwanthpur,1195,2.0,100.0,2.0
CV Raman Nagar,1028,2.0,49.0,2.0
Akshya Nagar,1175,2.0,48.27,2.0
Pai Layout,1550,2.0,90.0,3.0
Yeshwanthpur,1826,3.0,165.0,3.0
Hoodi,2400,5.0,160.0,5.0
Yelahanka,1603,3.0,96.0,3.0
Marathahalli,1350,3.0,72.0,3.0
KR Puram,714,1.0,28.0,1.0
Whitefield,1215,2.0,65.0,2.0
Malleshpalya,1405,2.0,77.0,3.0
KR Puram,1142,2.0,51.0,2.0
Akshaya Vana,4000,4.0,170.0,4.0
Whitefield,1870,3.0,90.0,3.0
Subramanyapura,1313,2.0,73.0,2.0
Hennur Gardens,1945,3.0,120.0,3.0
Thanisandra,1573,3.0,95.0,3.0
Sarjapur  Road,1255,2.0,92.0,2.0
Benson Town,1400,3.0,91.15,4.0
Kannamangala,1235,2.0,43.63,2.0
Sarjapur  Road,1380,2.0,52.0,3.0
Ramamurthy Nagar,1500,9.0,250.0,7.0
Vittasandra,1238,2.0,67.0,2.0
Chennammana Kere,1465,2.0,74.72,3.0
Thigalarapalya,1418,2.0,103.0,2.0
Victoria Layout,1650,3.0,165.0,3.0
 Anekal,351,1.0,16.0,1.0
Uttarahalli,1279,2.0,48.0,2.0
Kasavanhalli,1870,3.0,200.0,3.0
BCC Layout,1500,5.0,230.0,4.0
Hebbal,2526,2.0,250.0,3.0
Mathikere,1550,2.0,150.0,3.0
Rajaji Nagar,3436 - 3643,,424.5,4.0
Uttarahalli,1845,2.0,68.27,3.0
Motappa Layout,1360,2.0,59.27,3.0
Friends Colony,1150,2.0,75.0,3.0
Whitefield,1260,2.0,49.5,2.0
Doddabidrakallu,1200,3.0,74.0,3.0
Dasanapura,965,2.0,42.5,2.0
Hoodi,1350,2.0,48.0,3.0
Bhoganhalli,1447,2.0,75.97,2.0
Arehalli,1229,3.0,86.03,3.0
Kudlu,1027,2.0,43.0,2.0
Gottigere,1153,2.0,48.5,2.0
Whitefield,2830 - 2882,5.0,145.5,4.0
Malleshpalya,1065,2.0,50.0,2.0
Tala Cauvery Layout,1030,2.0,61.0,2.0
Mallasandra,1340,2.0,61.0,2.0
Marathahalli,4000,5.0,212.0,4.0
Sri Balaji Krupa Layout,600,1.0,32.0,1.0
Begur Road,1410,2.0,44.42,3.0
Varthur,1055,2.0,45.35,2.0
Yelahanka,1304,2.0,79.0,2.0
Sadashiva Nagar,2720,4.0,485.0,4.0
Kammasandra,990,2.0,31.5,2.0
7th Phase JP Nagar,1035,2.0,39.33,2.0
Tumkur Road,596 - 804,1.0,30.09,1.0
Sonnenahalli,1120,2.0,43.0,2.0
Haralur Road,1300,2.0,73.0,2.0
Tumkur Road,1239,2.0,82.0,2.0
Sarjapur  Road,1403,3.0,51.63,3.0
Hosa Road,1365,2.0,92.0,2.0
8th block Koramangala,1165,2.0,135.0,2.0
Subramanyapura,1130,2.0,45.19,3.0
Green Glen Layout,1776.42,3.0,105.0,3.0
Vidyaranyapura,900,4.0,175.0,4.0
Haralur Road,1194,2.0,47.0,2.0
Bidadi,1107,2.0,33.0,2.0
Nagavara,2319,3.0,180.0,3.0
Nallurhalli,1520,3.0,80.0,3.0
Kannamangala,1536,3.0,89.0,3.0
Teachers Colony,3000,4.0,240.0,4.0
Belathur,1050,2.0,38.0,2.0
Hoodi,1850,3.0,146.0,3.0
Billekahalli,1112,2.0,62.0,2.0
Marathahalli,1535,3.0,72.5,3.0
Kanakpura Road,1050,2.0,35.0,2.0
Banashankari,2400,3.0,370.0,4.0
7th Phase JP Nagar,1250,3.0,65.0,3.0
Kalena Agrahara,1187,2.0,52.0,2.0
9th Phase JP Nagar,1164,2.0,56.0,2.0
Electronic City Phase II,1395,2.0,62.78,3.0
Arekere,2072,3.0,108.0,3.0
Kanakpura Road,1450,3.0,60.91,3.0
Bannerghatta Road,1550,3.0,82.0,3.0
Sampige Layout,1315,2.0,90.0,2.0
Hebbal,3067,4.0,230.0,4.0
Amruthnagar,1210,2.0,72.0,2.0
Bisuvanahalli,1075,2.0,47.0,3.0
Sathya Sai Layout,11338,9.0,1000.0,6.0
Virgonagar,1215,3.0,42.2,3.0
Kaggadasapura,1470,2.0,75.0,3.0
Dodsworth Layout,30000,4.0,2100.0,4.0
Hosur Road,1590,2.0,125.0,3.0
Kanakpura Road,1050,2.0,36.75,2.0
Raja Rajeshwari Nagar,1306,2.0,55.91,2.0
Malleshwaram,2000,3.0,250.0,3.0
"Kudlu Village, ",1445,3.0,64.0,3.0
Sarjapur  Road,1220,3.0,58.0,3.0
Sarjapur,3190,3.0,160.0,4.0
Ramagondanahalli,1215,2.0,51.26,2.0
Budigere,1920,2.0,88.0,3.0
Dodda Nekkundi,1390,2.0,60.0,2.0
Battarahalli,800,2.0,75.0,3.0
Nagarbhavi,600,3.0,100.0,3.0
Hoodi,1196,2.0,71.74,2.0
Bannerghatta Road,1550,2.0,75.0,3.0
Thigalarapalya,1418,2.0,101.0,2.0
Varthur Road,1655,3.0,115.0,3.0
KR Puram,1115,2.0,33.45,2.0
Rajiv Gandhi Nagar,1170,2.0,68.0,2.0
Anekal,1035,2.0,38.3,2.0
Singasandra,1306,2.0,58.0,3.0
Kengeri,750,2.0,22.0,2.0
Thanisandra,1917,3.0,122.0,3.0
Kaggadasapura,1615,3.0,58.0,3.0
Marathahalli,1071,2.0,52.25,2.0
Koramangala,1325,2.0,119.0,2.0
Malleshwaram,3000,4.0,900.0,7.0
5th Phase JP Nagar,1400,2.0,88.0,3.0
Tumkur Road,1246,2.0,82.0,2.0
Sarjapur,1215,2.0,40.0,2.0
Munnekollal,1200,2.0,49.5,2.0
Kurubarahalli,450,3.0,53.0,4.0
Kodigehaali,1200,2.0,60.0,2.0
Kaval Byrasandra,945,2.0,50.0,2.0
Benson Town,4460,5.0,650.0,4.0
Hormavu,1175,2.0,52.0,2.0
Whitefield,920,2.0,63.0,2.0
Hosakerehalli,3024,5.0,350.0,4.0
Bidadi,1600,2.0,110.0,2.0
Sanjay nagar,750,2.0,110.0,4.0
Sector 4 HSR Layout,2400,4.0,700.0,4.0
Bhagyalakshmi Avenue,955,1.0,34.01,2.0
Ardendale,1750,3.0,100.0,3.0
Uttarahalli,1425,2.0,64.0,3.0
Basavangudi,2150,3.0,265.0,3.0
Whitefield,1165,2.0,40.5,2.0
Kaggadasapura,1050,2.0,48.0,2.0
Cholanayakanahalli,1370,2.0,75.0,3.0
Electronic City,1374,2.0,72.0,3.0
Harlur,1754,3.0,124.0,3.0
Kothanur,1847,3.0,110.0,3.0
Ambedkar Nagar,1850,4.0,139.0,3.0
Chikka Tirupathi,3297,3.0,135.0,3.0
Doddakannelli,1187,2.0,45.0,2.0
Bommasandra Industrial Area,1400,2.0,40.44,3.0
Kengeri Hobli,600,2.0,30.0,3.0
Chamrajpet,1350,2.0,180.0,2.0
Doddaballapur,3000,2.0,120.0,3.0
Thanisandra,693,1.0,34.3,1.0
Dairy Circle,1980,3.0,224.0,3.0
KR Puram,1021,2.0,48.0,2.0
Thigalarapalya,1165,2.0,95.0,2.0
Horamavu Agara,1756,3.0,92.0,3.0
Bharathi Nagar,1739,3.0,105.0,3.0
Varthur,1280,2.0,65.0,2.0
Marathahalli,1215,2.0,58.86,2.0
Munnekollal,950,2.0,46.5,2.0
Kengeri,1082,2.0,49.0,3.0
7th Phase JP Nagar,1050,2.0,42.0,2.0
Devanahalli,1080,2.0,53.35,2.0
Arekere,1100,2.0,55.0,2.0
Ardendale,3200,4.0,205.0,4.0
Sarjapur  Road,1311,2.0,78.0,2.0
Raja Rajeshwari Nagar,1608,3.0,67.98,3.0
Begur Road,1160,2.0,36.0,2.0
Whitefield,1170,2.0,71.0,2.0
Kengeri,1155,2.0,40.6,2.0
Hebbal,1255,2.0,77.68,3.0
Rayasandra,1065,2.0,44.95,2.0
Neeladri Nagar,674,1.0,21.0,1.0
Ambedkar Nagar,1936,4.0,126.0,3.0
Sarakki Nagar,2289,3.0,260.0,3.0
Abbaiah Reddy Layout,1100,2.0,38.45,2.0
Ramagondanahalli,2257,4.0,157.0,3.0
Nagarbhavi,1055,2.0,55.0,2.0
Raja Rajeshwari Nagar,1530,3.0,51.87,3.0
Dinnur,1700,3.0,97.0,3.0
Raja Rajeshwari Nagar,1575,2.0,78.0,3.0
Frazer Town,3500,4.0,330.0,3.0
Rajiv Nagar,1263,2.0,93.32,2.0
KR Puram,1255 - 1863,3.0,69.315,3.0
Kengeri Satellite Town,1043,2.0,65.0,2.0
Hennur,1255,2.0,53.5,2.0
JP Nagar,1300 - 1405,2.0,93.865,2.0
Chandapura,590,1.0,13.57,1.0
Yelahanka,1550,3.0,120.0,3.0
Sarjapur  Road,1220,3.0,56.0,3.0
Rustam Bagh Layout,1900,3.0,160.0,3.0
Vasantha Vallabha Nagar,1360,3.0,55.0,3.0
Vyalikaval,1100,2.0,75.0,2.0
8th Phase JP Nagar,1455,3.0,73.31,3.0
KR Puram,1035,2.0,40.5,2.0
Harlur,1152,2.0,69.0,2.0
Bellandur,1299,2.0,82.0,2.0
Sarjapur  Road,1157,2.0,75.0,3.0
Rachenahalli,1050,2.0,52.5,2.0
Pai Layout,1050,2.0,40.0,2.0
Vittasandra,1246,2.0,67.4,2.0
"Sarjapur Road, ",1929,3.0,115.0,3.0
Hennur,1285,2.0,60.0,2.0
Margondanahalli,1200,2.0,65.0,3.0
"Banaswadi, ",3161,4.0,214.0,4.0
BTM 2nd Stage,1850,3.0,170.0,3.0
Sompura,1025,2.0,37.0,3.0
Malleshwaram,1124,3.0,80.0,2.0
Balagere,1012,2.0,54.59,2.0
Giri Nagar,4500,5.0,250.0,7.0
8th Phase JP Nagar,871,2.0,55.0,2.0
Chinnapanahalli,1020,2.0,40.0,2.0
Rachenahalli,1550,3.0,73.5,3.0
Anand Nagar,3515,3.0,420.0,3.0
Akshaya Nagar,1410,2.0,80.0,3.0
Chikka Tirupathi,3500,5.0,150.0,4.0
Whitefield,1118,2.0,75.0,2.0
Thanisandra,1098,2.0,68.0,2.0
Kanakapura,1130,2.0,45.2,2.0
Sarjapur  Road,1145,2.0,75.0,2.0
Kadugodi,950,3.0,80.0,3.0
Balaji Gardens Layout,1051,2.0,33.0,2.0
Thavarekere,600,7.0,108.0,7.0
Marathahalli,1102,2.0,53.67,2.0
